eventid,uid,output
8701001,176,1
8701002,200,"The article is about a meeting between Mayor Koch and a group of black community leaders to discuss ways to improve the racial climate in New York City after the Howard Beach incident. The participants praised the Mayor's leadership and condemned the attack, but some also criticized his previous lack of sensitivity to black concerns.

Here are some key points from the article:

1. The meeting was an ad hoc group convened by the Mayor to discuss ways to improve the racial climate in the city.
2. The participants included a mix of community leaders, politicians, and civil rights activists.
3. The Mayor emphasized the need for more education and enforcement of antidiscrimination laws in areas such as housing, employment, and education.
4. Some participants criticized Police Commissioner Ward's suggestion that Mr. Maddox was motivated by money from a potential civil suit.
5. The Mayor praised the group for having a ""positive and exemplary"" atmosphere, unlike some previous meetings where he felt his concerns were dismissed.

As for what we can do to eliminate racism, here are some suggestions:

1. Educate ourselves and others about the impact of systemic racism on communities of color.
2. Support policies and initiatives that promote diversity, equity, and inclusion in all areas of life.
3. Listen to and amplify the voices of people from marginalized communities who are working towards racial justice.
4. Challenge and call out racist attitudes and behaviors when we see them.
5. Work to build bridges between different communities and create a sense of shared humanity.

Overall, the article highlights the importance of dialogue and collaboration in addressing racism and promoting social change. By listening to each other's perspectives and working together towards common goals, we can make progress towards creating a more just and equitable society for all."
8701004,537,0
8701007,1694,1.
8701008,2099,1.
8701009,3479,1.
8701005,3674,1
8701006,4382,0
8701011,4824,1
8701016,5203,1
8701012,5313,1
8701013,7074,1.
8701027,7836,1
8701014,8843,0.
8702011,9580,1.
8702013,9859,1
8702014,9951,0
8702017,10818,1
9204023,10818,1
9108013,10904,1
8702023,11356,0
8702020,11375,<1>
8702022,11412,1
8702025,11746,0
8702024,11768,1
8705016,12098,1
8702012,12350,0
8702027,12609,0
8702028,12983,0
8702030,13900,0.
8702031,14363,0
8702032,14372,0
8702035,14969,1
8702016,15055,0
8702037,16254,1
8702039,16465,1.
8702038,16598,1
8703001,17909,"This article discusses the controversy surrounding the use of road salt in Westchester County, New York. Here are some key points:

**Costly cleaning project**: The state refused to undertake a costly cleaning project to remove salt residue from wells and water supplies.

**Salt usage**: While reducing the ratio of salt to sand, municipal highway departments are using more salt overall than before. This is due to growing commuter numbers, particularly in northern towns with winding roads that require salt to remain safe.

**Environmental concerns**: Residents and officials are pressing for changes in road-salting practices, citing concerns about the environmental impact on vegetation and water supplies.

**Health guidelines**: The State Health Department has set guidelines for sodium levels in drinking water, with recommendations for those on restricted diets. However, there are no formal standards for permitted salt levels.

**Testing results**: Wells tested in North Salem had high sodium concentrations (up to 200mg/l) and chloride concentrations (up to 400mg/l), but these were within normal ranges when tested at other times in the winter season.

**Challenges**: The use of salt creates a ""Catch 22"" dilemma, where one must choose between the risk of automobile accidents and environmental damage. Some experts are hopeful that financial incentives and studies on reducing or eliminating salt use on certain roads will lead to a decrease in salt consumption.

Some quotes from local officials:

* Frank B. McKown (Bedford Association president): ""It's like butting your head against a wall.""
* Edward F. Kelly (Westchester Highway Supervisors Association president): ""Commuters are not thinking of the environment; they are thinking of getting home or to work.""
* Edward J. Kearin (Lewisboro Highway Superintendent): ""I think people are grateful that they have safe roads."""
