Unnamed: 0.1,Unnamed: 0,eventid,uid,output,output_clean
0,0,8804006,133286,"To classify the protest activities described in the article, let's break down the key elements:

1. The protesters moved into vacant apartments at a public housing project, which can be considered an act of **civil disobedience (45)** since they were arrested for criminal trespass.
2. They set up a tent city nearby, which involves **camping/erecting tents overnight (39)** as a form of protest to draw attention to their cause.
3. The protesters aimed to call attention to the housing authority's refusal to allow homeless people to stay in its vacant apartments, which could be seen as an act of **speechmaking (e.g., talks, testimonies) (27)** or more broadly as part of a larger effort that includes **vigiling (e.g., silent protests with placards/banners) (29)**, though the article doesn't specifically mention placards or banners in this context.
4. The act of moving into vacant apartments and setting up tents can also be seen as a form of **dramaturgical presentation (e.g., skits, street theater, puppets) (10)** because it's a symbolic action meant to convey a message about the need for housing for the homeless.

Therefore, based on these details, the protest activities can be classified into the following categories:

< 45 ; 39 ; 27 ; 10 >", 45 ; 39 ; 27 ; 10 
1,1,8804002,133325,"Based on the article provided, there are no explicit descriptions of protest activities that fit into the categories listed (1-99). The article primarily discusses the case of Lawrence Singleton, a convicted individual, his parole, and the concerns surrounding his release. It mentions public reaction and opposition to his placement in various communities but does not describe specific protest activities such as bannering, picketing, or vigiling that are directly related to his case or any other issue.

Therefore, given the lack of direct descriptions of protest activities within the article, the response would reflect that none of the categories provided apply:

`< ; ; ; >`", ; ; ; 
2,2,8804009,133541,"Based on the article, the protest activities can be classified into the following categories:

< 20 ; 22 ; 28 ; 15 >

These categories represent:
- Holding signs, picketing, placarding (20): The protesters held signs that read ""Don't Bring the City to the Suburbs"" and ""We Need State Aid, Not AIDS From the State.""
- Procession or marching (22): The protesters marched around an A&P parking lot across from the nursing home.
- Sloganeering/chanting (28): The protesters chanted slogans such as ""Nimby! You said it, Nimby!"" and ""Isolate them!""
- Leafleting (15): Carin Olson, 8 years old, handed out fliers titled ""Keep AIDS Out of Wanaque.""", 20 ; 22 ; 28 ; 15 
3,3,8804013,134026,"Based on the details in the article, the protest activities can be classified into the following categories: 

< 20 ; 22 ; 28 ; 45 >

These categories represent:
1. **Holding signs, picketing, placarding (20)**: Although not explicitly mentioned, the protests and demonstrations described likely involved holding signs or placards.
2. **Procession or marching (22)**: The article mentions that Pastor Roth and his supporters went from parish to parish to spread the word, which could be considered a form of procession or marching.
3. **Sloganeering/chanting (28)**: The protesters condemned ""corporate evil"" and declared that overseas investments by steel makers were contributing to the area's high jobless rate, which can be seen as a form of sloganeering or chanting.
4. **Civil disobedience (illegal acts as protest) (45)**: The protests involved disruptive actions such as spraying skunk oil in banks, putting dead fish in safe-deposit boxes, and barricading themselves inside Trinity Lutheran, which are forms of civil disobedience. Additionally, the vandalism described, such as painting ""Scab Pastor"" on church property and damaging a stained glass window, also falls under this category.", 20 ; 22 ; 28 ; 45 
4,4,8804014,134026,"Based on the details in the article, the protest activities can be classified into the following categories:

< 20 ; 22 ; 28 ; 45 >

These categories represent:
- Holding signs, picketing, placarding (20): Protesters outside the jobs center where Prince Charles visited.
- Procession or marching (22): Although not explicitly mentioned as a march, protesters stormed into churches and disrupted services, indicating a form of procession or movement.
- Sloganeering/chanting (28): While specific slogans are not mentioned, the disruptions at churches and other protests likely involved chanting or sloganeering.
- Civil disobedience (illegal acts as protest) (45): Actions like spraying skunk oil in banks, putting dead fish in safe-deposit boxes, barricading themselves inside Trinity Lutheran Church, and vandalism against the new church (e.g., painting ""Scab Pastor"" on church property, glue in door locks, shattered stained glass window) are all forms of civil disobedience.", 20 ; 22 ; 28 ; 45 
5,5,8804012,134469,"Based on the details provided in the article, the protest activities can be categorized as follows:

- The students marched from one location to another, which falls under category 22 (Procession or marching).
- They sat on the floors of the telecommunications building, which is an example of a sit-in, categorized as 52 (Sit-ins).
- The students chanted ""We want Bryce,"" which can be classified under 28 (Sloganeering/chanting).
- By defying a court order to leave, they engaged in an act of civil disobedience, which falls under category 45 (Civil disobedience).

Therefore, the protest activities described in the article can be represented by the numeric codes as follows: 

< 22 ; 52 ; 28 ; 45 >", 22 ; 52 ; 28 ; 45 
6,6,8804015,134763,"Based on the details provided in the article, the protest activities described can be classified into the following categories:

< 18 ; 9 ; 28 ; 34 >

Here's a breakdown of each category:
- 18: Petitioning (e.g., obtaining or presenting signatures) - The Black Coaches Association and its predecessors have engaged in petitioning for changes, such as when they petitioned the N.C.A.A. to give a black school a chance to play in the postseason tournament.
- 9: Public and collective discussion - The article mentions an open forum where coaches discussed issues related to minority hiring, promotion, and recruiting practices in sports.
- 28: Sloganeering/chanting - Although not directly mentioned, the context of a public meeting and the nature of protests often include some form of sloganeering or chanting, even if it's not explicitly stated in the article.
- 34: Press conferences - The mention of Rudy Washington speaking as the executive director of the association and the discussion on affirmative action in sports could imply press involvement, although it's not directly stated as a press conference.", 18 ; 9 ; 28 ; 34 
7,7,8804017,135588,"Based on the article, I have identified the following categories of protest activities:


< 20 ; 28 ; 45 ; >


Here's a brief explanation for each category:

* 20: Holding signs, picketing, placarding - Although not explicitly mentioned in the article, protests last month that helped oust a non-deaf, nonsigning administrator from the presidency of Gallaudet University might have involved holding signs or placards.
* 28: Sloganeering/chanting - The debate and criticism among the deaf community regarding Marlee Matlin's use of sign language and speech can be seen as a form of sloganeering or chanting, where individuals express their opinions and demands.
* 45: Civil disobedience (illegal acts as protest) - The protests that led to the ousting of the administrator might have involved some form of civil disobedience, although the article does not provide specific details.

Note that these categories are not directly mentioned in the article, but can be inferred based on the context and the events described.", 20 ; 28 ; 45 ; 
8,8,8804018,135662,"Based on the details provided in the article, the protest activities can be classified into the following categories:

< 20 ; 22 ; 28 ; 57 >

Explanation:
- 20: Holding signs, picketing, placarding (though not explicitly mentioned, the protesters were standing face-to-face with police officers and chanting, which implies they might have been holding signs or placards).
- 22: Procession or marching is not directly mentioned, but the act of blocking the front door and standing in protest can be considered a form of procession or assembling for the purpose of protest.
- 28: Sloganeering/chanting (the protesters chanted ""No justice, no peace!"" in English and Spanish).
- 57: Blockades (the five protesters blocked the front door of City Hall for about 20 minutes).", 20 ; 22 ; 28 ; 57 
9,9,8804019,136506,"Based on the details provided in the article, the protest activities described can be classified into the following categories:

< 20 ; 22 ; 28 ; 34 >

Here's how these categories apply:
- **20. Holding signs, picketing, placarding**: The students waved placards with messages like ""Demand a Diversified Duke"" and ""End Racism at Duke.""
- **22. Procession or marching**: Although the article does not explicitly mention a procession or march, it describes a rally where more than 500 students gathered, which can imply a form of procession to the gathering point.
- **28. Sloganeering/chanting**: The presence of cheers from the crowd and statements like ""While we have the best of intentions here, structurally this is a racist institution"" suggest verbal expressions of support or chants.
- **34. Press conferences**: While not directly mentioned as a press conference, the rally included speeches by significant figures such as the university's president, H. Keith H. Brodie, and professors, which could serve a similar purpose in disseminating information and views to a wider audience through media coverage.", 20 ; 22 ; 28 ; 34 
